Brand,Product Name,pH,Ingredients,Image Link,Item Link
Dr.Dennis Gross,Alpha Beta Extra Strength Daily Peel - Packettes,N/A,"Step 1: Water/Aqua/Eau, Alcohol Denat. (SD Alcohol 40-B), Glycolic Acid, Potassium Hydroxide, Hamamelis Virginiana (Witch Hazel) Water, Salicylic Acid, Polysorbate 20, Lactic Acid, Mandelic Acid, Malic Acid, Citric Acid, Salix Alba (Willow) Bark Extract, Menthone Glycerin Acetal, Camellia Sinensis Leaf Extract, Achillea Millefolium Extract, Anthemis Nobilis (Chamomile) Flower Extract, Soy Isoflavones, Copper PCA, Zinc PCA, Lecithin, Disodium EDTA, Alcohol, Polysorbate 80, Fragrance (Parfum), Linalool, Benzyl Salicylate, Benzoic Acid, Phenoxyethanol, Sodium Benzoate Step 2: Water/Aqua/Eau, Sodium Bicarbonate, Resveratrol, Retinol, Ascorbic Acid, Ubiquinone, Ascorbyl Palmitate, Phospholipids, Retinyl Palmitate, Tocopheryl Acetate, Soy Isoflavones, Achillea Millefolium Extract , Camellia Sinensis Leaf Extract, Leuconostoc/Radish Root Ferment Filtrate, Copper PCA, Sodium PCA, Zinc PCA, Dimethicone, Lecithin, Polysorbate 20, Polysorbate 80, Alcohol, BHT, PEG-30 Stearate, Octoxynol-9, Tetrasodium EDTA, Sorbic Acid, Sodium Benzoate, Phenoxyethanol",https://product-image-uploads.s3-ca-central-1.amazonaws.com//i-017009-alpha-beta-extra-strength-daily-peel-60-day-packettes-2-940.png,https://reissue.co/product/dr-dennis-gross-alpha-beta-extra-strength-daily-peel---packettes
Clinique,Dramatically Different Moisturizing Gel,N/A,"Water / Aqua / Eau, Dimethicone, Isododecane, Butylene Glycol, Bis-PEG-18 Methyl Ether Dimethyl Silane, Glycerin, Laminaria Saccharina Extract, Polygonum Cuspidatum Root Extract, Saccharomyces Lysate Extract, Cucumis Sativus (Cucumber) Fruit Extract, Hordeum Vulgare (Barley) Extract / Extrait D'Orge, Helianthus Annuus (Sunflower) Seedcake, Caffeine, Trehalose, Sodium Hyaluronate, Tocopheryl Acetate, Chamomilla Recutita (Matricaria), Polysilicone-11, Silica, Propylene Glycol Dicaprate, Oleth-10, Lactobacillus Ferment, Laureth-23, Laureth-4, Ammonium Acryloyldimethyltaurate / VP Copolymer, Carbomer, Caprylyl Glycol, Hexylene Glycol, Tromethamine, Disodium EDTA, Phenoxyethanol, Potassium Sorbate, Yellow 5 (CI 19140), Red 4 (CI 14700), Yellow 6 (CI 15985).",https://product-image-uploads.s3-ca-central-1.amazonaws.com//020714222857_main.png,https://reissue.co/product/clinique-dramatically-different-moisturizing-gel
Innisfree,Super Volcanic Pore Clay Mask,N/A,"Water, Titanium Dioxide, Butylene Glycol, Volcanic Ash, Glycerin, Silica, Trehalose, Kaolin, Bentonite, Polyvinyl Alcohol, Caprylic/capric Triglyceride, Zinc Oxide (Ci 77947), Glyceryl Stearate, Cetearyl Alcohol, Juglans Regia (Walnut) Shell Powder, Camellia Sinensis Leaf Extract, Citrus Unshiu Peel Extract, Opuntia Coccinellifera Fruit Extract, Orchid Extract, Camellia Japonica Leaf Extract, PVP, PEG-100 Stearate, Polysorbate 60, Stearic Acid, Palmitic Acid, Hydrogenated Vegetable Oil, Xanthan Gum, Iron Oxides (Ci 77499), Zea Mays (Corn) Starch, Sorbitan Stearate, Polyacrylate-13, Mannitol, Microcrystalline Cellulose, Lactic Acid, Polyisobutene, Menthoxypropanediol, Ethylhexylglycerin, Tetrasodium Pyrophosphate, Polysorbate 20, Iron Oxides (Ci 77491), Disodium EDTA, Phenoxyethanol",https://product-image-uploads.s3-ca-central-1.amazonaws.com//13002_l.png,https://reissue.co/product/innisfree-super-volcanic-pore-clay-mask
Saturday Skin,Featherweight Daily Moisturizing Cream,N/A,"Water, Butylene Glycol, Ethylhexyl Palmitate, Glycerin, Cyclopentasiloxane, Dipropylene Glycol, Octyldodecyl Myristate, Silica, Cetearyl Alcohol, Cyclohexasiloxane, Polysorbate 60, 1,2-Hexanediol, Citrus Limon (Lemon) Peel Oil, Juniperus Mexicana Oil, Hydrolyzed Avocado Protein, Citrus Aurantium Dulcis (Orange) Peel Oil, Citrus Grandis (Grapefruit) Peel Oil, Eucalyptus Globulus Leaf Oil, Lavandula Angustifolia (Lavender) Oil, Rosmarinus Officinalis (Rosemary) Leaf Oil, Ananas Sativus (Pineapple) Fruit Extract, Pyrus Malus (Apple) Fruit Extract, Actinidia Chinensis (Kiwi) Fruit Extract, Fragaria Vesca (Strawberry) Fruit Extract, Prunus Persica (Peach) Fruit Extract, Vitis Vinifera (Grape) Fruit Extract, Ficus Carica (Fig) Fruit Extract, Ginkgo Biloba Nut Extract, Morus Alba Fruit Extract, Punica Granatum Fruit Extract, Phoenix Dactylifera (Date) Seed, Glyceryl Stearate, Ammonium Acryloyldimethyltaurate/VP Copolymer, Sorbitan Sesquioleate, Tromethamine, PEG-100 Stearate, Caprylyl Glycol, Cetearyl Olivate, Sorbitan Olivate, Stearic Acid, Dimethicone Crosspolymer, Dimethiconol, Hydrogenated Lecithin, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Ceteareth-20, Maltodextrin, Saccharide Hydrolysate, Cholesterol, PEG-800, Ascorbic Acid, Polysorbate 20, sh-Oligopeptide-1, sh-Polypeptide-1, sh-Oligopeptide-2, sh-Polypeptide-22, sh-Polypeptide-45, sh-Polypeptide-8, sh-Polypeptide-9, Carbomer, Xanthan Gum, Disodium EDTA, Phenoxyethanol.",https://product-image-uploads.s3-ca-central-1.amazonaws.com//featherweight_720x.png,https://reissue.co/product/saturday-skin-featherweight-daily-moisturizing-cream
COSRX,Ultimate Nourishing Rice Overnight Spa Mask,N/A,"Oryza Sativa (Rice) Extract, Butylene Glycol, Glycerin, Helianthus Annuus (Sunflower) Seed Oil, Betaine, Niacinamide, Dimethicone, 1,2-Hexanediol, Cetearyl Olivate, Sorbitan Olivate, Elaeis Guineensis (Palm) Oil, Elaeis Guineensis (Palm) Kernel Oil, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Cetearyl Alcohol, Ethylhexylglycerin, Arginine, Carbomer, Allantoin, Xanthan Gum",https://product-image-uploads.s3-ca-central-1.amazonaws.com//Ultiate-Nourishing-Rice-Overnight-Spa-Mask-Tube-4-1100x1101.png,https://reissue.co/product/cosrx-ultimate-nourishing-rice-overnight-spa-mask
Kiehl's,Midnight Recovery Concentrate,N/A,"Caprylic/Capric Triglyceride, Dicaprylyl Carbonate, Squalane, Rosa Canina Fruit Oil, Evening Primrose Oil, Jojoba Seed Oil, Coriander Seed Oil, Tocopherol, Lavender Oil, Pelargonium Graveolens Flower Oil, Linalool, Rosemary Leaf Oil, Citronellol, Geraniol, Lavandula Hybrida Oil, Cucumber Fruit Extract, Turmeric Root Extract, Limonene, Citral, Sclareolide, Rose Flower Oil, Jasmine Extract, Sunflower Seed Oil",https://product-image-uploads.s3-ca-central-1.amazonaws.com//Midnight_Recovery_Concentrate.png,https://reissue.co/product/kiehl-s--midnight-recovery-concentrate
COSRX,AHA/BHA Clarifying Treatment Toner,4.0,"Mineral Water, Salix Alba (Willow) Bark Water, Pyrus Malus (Apple) Fruit Water, Butylene Glycol, 1,2-Hexanediol, Sodium Lactate, Glycolic Acid, Betaine Salicylate, Allantoin, Panthenol, Ethyl Hexanediol",https://product-image-uploads.s3-ca-central-1.amazonaws.com//aha_12_liquid.png,https://reissue.co/product/cosrx-aha-bha-clarifying-treatment-toner
COSRX,Ultimate Moisturizing Honey Overnight Mask,N/A,"Propolis Extract, Butylene Glycol, Glycerin, Betaine, 1,2-Hexanediol, PEG-60 Hydrogenated Castor Oil, Arginine, Cassia Obtusifolia Seed Extract, Dimethicone, Ethylhexylglycerin, Carbomer, Sodium Hyaluronate, Beeswax, Allantoin, Panthenol, Sodium Polyacrylate, Adenosine",https://product-image-uploads.s3-ca-central-1.amazonaws.com//UltiateMoisturizingHoneyOvernightMaskTube-2-1100x1101.png,https://reissue.co/product/cosrx-ultimate-moisturizing-honey-overnight-mask
The Ordinary,Natural Moisturizing Factors + HA,6.75,"Aqua (Water), Caprylic/Capric Triglyceride, Cetyl Alcohol, Propanediol, Stearyl Alcohol, Glycerin, Sodium Hyaluronate, Arginine, Aspartic Acid, Glycine, Alanine, Serine, Valine, Isoleucine, Proline, Threonine, Histidine, Phenylalanine, Glucose, Maltose, Fructose, Trehalose, Sodium PCA, PCA, Sodium Lactate, Urea, Allantoin, Linoleic Acid, Oleic Acid, Phytosteryl Canola Glycerides, Palmitic Acid, Stearic Acid, Lecithin, Triolein, Tocopherol, Carbomer, Isoceteth-20, Polysorbate 60, Sodium Chloride, Citric Acid, Trisodium Ethylenediamine Disuccinate, Pentylene Glycol, Triethanolamine, Sodium Hydroxide, Phenoxyethanol, Chlorphenesin.",https://product-image-uploads.s3-ca-central-1.amazonaws.com//rdn-natural-moisturizing-factors-ha-100ml.png,https://reissue.co/product/the-ordinary-natural-moisturizing-factors---ha
The Body Shop,Skin Defence Multi-Protection Essence SPF50,N/A,"Aqua/Water/Eau, Alcohol Denat., Ethylhexyl Methoxycinnamate, Neopentyl Glycol Diheptanoate, Butyl Methoxydibenzoylmethane, Butylene Glycol, Dimethicone, Glycerin, Polymethyl Methacrylate, Cetearyl Alcohol, Phenoxyethanol, Octocrylene, Chlorphenesin, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Cetearyl Glucoside, Sclerocarya Birrea Seed Oil, Parfum/Fragrance, 3-O-Ethyl Ascorbic Acid, Sodium Hydroxide, Palmaria Palmata Extract, Carbomer, Linalool, Tocopherol, Limonene, Citronellol.",https://product-image-uploads.s3-ca-central-1.amazonaws.com//skin-defence-multi-protection-essence-spf50-1075087-60ml-1-640x640.png,https://reissue.co/product/the-body-shop-skin-defence-multi-protection-essence-spf50
Biossance,100% Squalane Oil,N/A,100% Plant Derived Squalane,https://product-image-uploads.s3-ca-central-1.amazonaws.com//oil01.png,https://reissue.co/product/biossance-100--squalane-oil
Garnier,Micellar Water All-In-1 Cleansing Water Waterproof Make-Up,N/A,"Aqua/Water, Cyclopentasiloxane, Isohexadecane, Potassium Phosphate, Sodium Chloride, Hexylene Glycol, Dipotassium Phosphate, Disodium EDTA, Decyl Glucoside, Polyaminopropyl Biguanide",https://product-image-uploads.s3-ca-central-1.amazonaws.com//Clean_MicellarWater_Shake_400ml_New.png,https://reissue.co/product/garnier-micellar-water-all-in-1-cleansing-water-waterproof-make-up
Neutrogena,Hydro Boost Hydrating 100% Hydrogel Mask,N/A,"Water, Dipropylene Glycol, Propanediol, Ceratonia Siliqua (Carob) Gum, Xanthan Gum, Chondrus Crispus Extract, Chlorphenesin, PEG-60 Hydrogenated Castor Oil, Phenoxyethanol, Potassium Chloride, Fragrance, Disodium EDTA, Hydrolyzed Hyaluronic Acid, Tremella Fuciformis Sporocarp Extract, Plukenetia Volubilis Seed Oil, Sucrose Cocoate, Tocopherol, Blue 1",https://product-image-uploads.s3-ca-central-1.amazonaws.com//hydrogelmask-hero.png,https://reissue.co/product/neutrogena-hydro-boost-hydrating-100--hydrogel-mask
COSRX,Two In One Poreless Power Liquid,4.5,"Salix Alba (Willow) Bark Water, Butylene Glycol, Hydroxypropyl Cyclodextrin, Water, Pentylene Glycol, 1,2-Hexanediol, Betaine Salicylate, Arginine, Betaine, PEG-60 Hydrogenated Castor Oil, Allantoin, Panthenol, Ethylhexylglycerin, Sodium Hyaluronate, Carbomer, Cassia Obtusifolia Seed Extract, Menthyl Lactate, Mentha Haplocalix Extract",https://product-image-uploads.s3-ca-central-1.amazonaws.com//2in1_poreless_liquid-1.png,https://reissue.co/product/cosrx-two-in-one-poreless-power-liquid
Kiehl's,Rare Earth Deep Pore Cleansing Face Mask,N/A,"Water, Kaolin, Bentonite, Propanediol, Glycerin, Titanium Dioxide, Caprylic/Capric Triglyceride, Cetearyl Alcohol, Corn Starch, Phenoxyethanol, Ceterath-20, Caprylyl Glycol, Ethylhexylglycerin, Tocopherol, Lecithin, Aloe Barbadensis Leaf Juice, Oat Kernel Flour, Allantoin.",https://product-image-uploads.s3-ca-central-1.amazonaws.com//Rare_Earth_Pore_Cleansing_Masque.png,https://reissue.co/product/kiehl-s--rare-earth-deep-pore-cleansing-face-mask
Glossier,Priming Moisturizer,N/A,"Aqua/Water/Eau, Tridecyl Stearate, Neopentyl Glycol Dicaprylate/Dicaprate, Stearic Acid, Propanediol, Tridecyl Trimellitate, Palmitic Acid, Glyceryl Stearate SE, Tropaeolum Majus Flower/Leaf/Stem Extract, Phenyl Trimethicone Lonicera Japonica (Honeysuckle) Flower Extract, Lonicera Caprifolium (Honeysuckle) Flower Extract, Butyrospermum Parkii (Shea) Butter, Aloe Barbadensis Leaf Juice, Tremella Fuciformis Sporocarp Extract, Beeswax/Cera Alba/Cire d'Abeille, Mel/Honey Extract/Extrait de Miel, Boswellia Serrata Extract, Phospholipids, Camellia Sinensis Leaf Extract, Aspalathus Linearis Leaf Extract, Tetrapeptide-14, Tocopheryl Acetate, Retinyl Palmitate, Ascorbyl Palmitate, Hyaluronic Acid, Glycerin, Polyacrylamide, Trisodium Ethylenediamine Disuccinate, Butylene Glycol, C13-14 Isoparaffin, Citric Acid, Cetyl Palmitate, Betaine, Potassium Sorbate, Ceteareth-20, Laureth-7, Phenoxyethanol, Sodium Benzoate.",https://product-image-uploads.s3-ca-central-1.amazonaws.com//priming_moisturizer.png,https://reissue.co/product/glossier-priming-moisturizer
Saturday Skin,Wide Awake Brightening Eye Cream,N/A,,https://product-image-uploads.s3-ca-central-1.amazonaws.com//wide-awake_af26cebe-be0d-45eb-bf7f-012c11633de6_720x.png,https://reissue.co/product/saturday-skin-wide-awake-brightening-eye-cream
The Ordinary,Lactic Acid 10% + HA,3.7,"Aqua (Water), Lactic Acid, Glycerin, Pentylene Glycol, Propanediol, Sodium Hydroxide, Sodium Hyaluronate Crosspolymer, Tasmannia Lanceolata Fruit/Leaf Extract, Acacia Senegal Gum, Xanthan Gum, Isoceteth-20, Trisodium Ethylenediamine Disuccinate, Ethylhexylglycerin, 1,2-Hexanediol, Caprylyl Glycol.",https://product-image-uploads.s3-ca-central-1.amazonaws.com//rdn-lactic-acid-10pct-ha-2pct-30ml.png,https://reissue.co/product/the-ordinary-lactic-acid-10----ha
Benton,Snail Bee High Content Essence,N/A,"Aqua(Water), Snail Secretion Filtrate, Butylene Glycol, Glycerin, Niacinamide, 1,2-Hexanediol, Aloe Barbadensis Leaf Juice, sh-Oligopeptide-1, Bee Venom, Plantago Asiatica Extract, Laminaria Digitata Extract, Diospyros Kaki Leaf Extract, Salix Alba (Willow) Bark Extract, Ulmus Campestris (Elm) Bark Extract, Althaea Rosea Root Extract, Aloe Barbadensis Leaf Extract, Beta-Glucan, Betaine, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Adenosine, Panthenol, Allantoin, Pentylene Glycol, Zanthoxylum Piperitum Fruit Extract, Pulsatilla Koreana Extract, Usnea Barbata (Lichen) Extract, Polysorbate 20, Lecithin, Arginine",https://product-image-uploads.s3-ca-central-1.amazonaws.com//high_content)essence.png,https://reissue.co/product/benton-snail-bee-high-content-essence
Kiehl's,Creamy Eye Treatment with Avocado,N/A,"Aqua/Water, Butyrospermum Parkii Butter/Shea Butter, Butylene Glycol, Tridecyl Stearate, Isodecyl Salicylate, PEG-30, Dipolyhydroxystearate, Tridecyl Trimellitate, Persea Gratissima Oil/Avocado Oil, Isocetyl Stearoyl Stearate, Propylene Glycol, Dipentaerythrityl Hexacaprylate/Hexacaprate, Sorbitan Sesquioleate, Magnesium Sulfate, Phenoxyethanol, Hydrogenated Castor Oil, Sodium PCA, Ozokerite, Methylparaben, Tocopheryl Acetate, Isopropyl Palmitate, Disodium EDTA, Copper PCA, Butylparaben, Ethylparaben, Propylparaben, Helianthus Annuus Seed Oil/Sunflower Seed Oil, CI 75130/Beta-Carotene, Tocopherol, Citric Acid.",https://product-image-uploads.s3-ca-central-1.amazonaws.com//Creamy_Eye_Treatment_with_Avocado.png,https://reissue.co/product/kiehl-s-creamy-eye-treatment-with-avocado
The Ordinary,Lactic Acid 5% + HA,3.7,"Aqua (Water), Lactic Acid, Glycerin, Pentylene Glycol, Propanediol, Sodium Hyaluronate Crosspolymer, Tasmannia Lanceolata Fruit/Leaf Extract, Hydroxyethylcellulose, Isoceteth-20, Trisodium Ethylenediamine Disuccinate, Sodium Hydroxide, Ethylhexylglycerin, 1,2-Hexanediol, Caprylyl Glycol.",https://product-image-uploads.s3-ca-central-1.amazonaws.com//rdn-lactic-acid-5pct-ha-2pct-30ml.png,https://reissue.co/product/the-ordinary-lactic-acid-5----ha
La Roche-Posay,Thermal Spring Water,N/A,,https://product-image-uploads.s3-ca-central-1.amazonaws.com//Thermal-Spring-Water-300ML.png,https://reissue.co/product/la-roche-posay-thermal-spring-water
Bioderma,Sensibio Micellar Water,N/A,"Water (Aqua), PEG-6 Caprylic/Capric Glycerides, Cucumis Sativus (Cucumber) Fruit Extract, Mannitol, Xylitol, Rhamnose, Fructooligosaccharides, Propylene Glycol, Disodium EDTA, Cetrimonium Bromide.",https://product-image-uploads.s3-ca-central-1.amazonaws.com//SensibioH2O_Bioderma.png,https://reissue.co/product/bioderma-sensibio-micellar-water
Glossier,Super Pure,N/A,"Water/Aqua/Eau, Niacinamide, Glycereth-26, Propanediol, Zinc PCA, Citric Acid, Lonicera Caprifolium (Honeysuckle) Extract, Peg-12 Dimethicone, Lonicera Japonica (Honeysuckle) Flower Extract, Hydroxyethylcellulose",https://product-image-uploads.s3-ca-central-1.amazonaws.com//superpure.png,https://reissue.co/product/glossier-super-pure
Mario Badescu,Enzyme Cleansing Gel,N/A,"Aqua (Water, Eau), Glycerin, Propylene Glycol, PEG-8 Stearate, PPG-2 Hydroxyethyl Cocamide, Carica Papaya (Papaya) Fruit Extract, Citrus Grandis (Grapefruit) Fruit Extract, Carbomer, Sodium Chloride, Parfum (Fragrance), Phenoxyethanol, Methylparaben, Propylparaben, Triethanolamine, Diazolidinyl Urea, Mica, CI 77891 (Titanium Dioxide), CI 19140 (Yellow 5), CI 42090 (Blue 1), CI 15985 (Yellow 6)",https://product-image-uploads.s3-ca-central-1.amazonaws.com//enzyme-cleansing-gel.png,https://reissue.co/product/mario-badescu-enzyme-cleansing-gel
The Face Shop,Jeju Volcanic Lava Self-Heating Clay Mask,N/A,"Glycerin, Kaolin, Volcanic Ash, Silica, PPG-9 Diglyceryl Ether, Polyglyceryl-10 Laurate, Water/Eau, Sasa Quelpaertensis Extract, Hizikia Flisiforme Extract, Akebia Quinata Extract, Carbomer, Acrylates/c10-30 Alkyl Acrylate Crosspolymer, Tromethamine, Triethanolamine",https://product-image-uploads.s3-ca-central-1.amazonaws.com//jeju-volcanic-lava-masque-auto-chauffant-a-largile-34350034.png,https://reissue.co/product/the-face-shop-jeju-volcanic-lava-self-heating-clay-mask
Hada Labo,Goku-Jyun Cleansing Oil,N/A,"Ethylhexyl Palmitate, Triethylhexanoin, Sorbeth-30 Tetraisostearate, PEG-20 Glyceryl Triisostearate, Olea Europaea (Olive) Fruit Oil, Water, Dextrin Palmitate/Ethylhexanoate, BHT, Simmondsia Chinensis (Jojoba) Seed Oil, Sodium Acetylated Hyaluronate, Hydroxypropyltrimonium Hyaluronate.",https://product-image-uploads.s3-ca-central-1.amazonaws.com//HadaLabo_CleasingOil.png,https://reissue.co/product/hada-labo-goku-jyun-cleansing-oil
Clinique,Take The Day Off Cleansing Balm,N/A,"Ethylhexyl Palmitate, Carthamus Tinctorius (Safflower) Seed Oil, Caprylic/Capric Triglyceride, Sorbeth-30 Tetraoleate, Polyethylene, PEG-5 Glyceryl Triisostearate, Water\Aqua\Eau, Tocopherol, Phenoxyethanol",https://product-image-uploads.s3-ca-central-1.amazonaws.com//2809429_fpx.png,https://reissue.co/product/clinique-take-the-day-off-cleansing-balm
Benton,Aloe BHA Skin Toner,N/A,"Aloe Barbadensis Leaf Water(80%), Aqua (Water), Butylene Glycol, Glycerin, 1,2-Hexanediol, Sodium Hyaluronate, Snail Secretion Filtrate, Beta-Glucan, Polyglutamic Acid, Aspalathus Linearis Extract, Portulaca Oleracea Extract, Psidium Guajava Fruit Extract, Salicylic Acid(0.5%), Althaea Rosea Root Extract, Aloe Barbadensis Leaf Extract(200mg), Aloe Barbadensis Leaf Juice(200mg), Arginine, Pentylene Glycol, Zanthoxylum Piperitum Fruit Extract, Pulsatilla Koreana Extract, Usnea Barbata (Lichen) Extract, Polysorbate 20, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Xanthan Gum",https://product-image-uploads.s3-ca-central-1.amazonaws.com//bha_skintoner.png,https://reissue.co/product/benton-aloe-bha-skin-toner
Biossance,Squalane + Vitamin C Rose Oil,N/A,"Squalane, Pistacia Lentiscus (Mastic) Gum, Rosa Damascena Flower Extract, Tetrahexyldecyl Ascorbate, Caprylic/Capric Triglyceride, Geraniol",https://product-image-uploads.s3-ca-central-1.amazonaws.com//vitamin_rose_oil.png,https://reissue.co/product/biossance-squalane---vitamin-c-rose-oil
Heimish,All Clean Balm,N/A,"Ethylhexyl Palmitate, Cetyl Ethylhexanoate, PEG-20 Glyceryl Triisostearate, Polyethylene, PEG-8 Isostearate, Butyrospermum Parkii (Shea) Butter, Cocos Nucifera (Coconut) Fruit Extract, Citrus Aurantifolia (Lime) Fruit Extract, Freesia Refracta Extract, Iris Versicolor Extract, Jasminum Officinale (Jasmine) Extract, Lilium Tigrinum Extract, Leontopodium Alpinum Extract, Nelumbium Speciosum Flower Extract, Narcissus Pseudo-Narcissus (Daffodil) Flower Extract, Rose Extract, Citrus Aurantium Dulcis (Orange) Peel Oil, Lavandula Angustifolia (Lavender) Oil, Pelargonium Graveolens Flower Oil, Amyris Balsamifera Bark Oil, Citrus Paradisi (Grapefruit) Peel Oil, Eucalyptus Globulus Leaf Oil, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Juniperus Mexicana Oil, Boswellia Carterii Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Tocopheryl Acetate, 1, 2-Hexanediol",https://product-image-uploads.s3-ca-central-1.amazonaws.com//0100020000042.png,https://reissue.co/product/heimish-all-clean-balm
Origins,Ginzing Energy-Boosting Gel Moisturizer,N/A,"Water\Aqua\Eau, Methyl Trimethicone, Butylene Glycol, Glycerin, Jojoba Esters, Panthenol, Dicaprylyl Carbonate, Citrus Limon (Lemon) Peel Oil*, Citrus Grandis (Grapefruit) Peel Oil*, Mentha Viridis (Spearmint) Leaf Oil*, Limonene, Aloe Barbadensis Leaf Extract, Butyrospermum Parkii (Shea Butter), Simmondsia Chinensis (Jojoba) Butter, Castanea Sativa (Chestnut) Seed Extract, Rubus Idaeus (Raspberry) Leaf Wax, Dimethicone, Coleus Barbatus Extract, Hordeum Vulgare (Barley) Extract\Extrait D'Orge, Trehalose, Triticum Vulgare (Wheat) Germ Extract, Panax Ginseng (Ginseng) Root Extract, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Salicylic Acid, Foeniculum Vulgare (Fennel) Seed Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Phospholipids, Tocopheryl Acetate, Sodium PCA, Arginine, Caffeine, Cholesterol, Linoleic Acid, Biotin, Folic Acid, Tetrahexyldecyl Ascorbate, Polysilicone-11, Carbomer, Pantethine, Squalane, Sodium Hyaluronate, Hexylene Glycol, Lecithin, Calcium Carbonate, Caprylyl Glycol, Ethylhexylglycerin, Tromethamine, Phenoxyethanol * Essential Oil",https://product-image-uploads.s3-ca-central-1.amazonaws.com//9198572_fpx.png,https://reissue.co/product/origins-ginzing-energy-boosting-gel-moisturizer
Laneige,Water Sleeping Mask,N/A,"Water, Butylene Glycol, Cyclopentasiloxane, Glycerin, Cyclohexasiloxane, Trehalose, Sodium Hyaluronate, Oenothera Biennis (Evening Primrose) Root Extract, Prunus Armeniaca (Apricot) Fruit Extract, Beta-Glucan, Chenopodium Quinoa Seed Extract, Ascorbyl Glucoside, Magnesium Sulfate, Zinc Sulfate, Manganese Sulfate, Calcium Chloride, Potassium Alginate, Ammonium Acryloyldimethyltaurate / VP Copolymer, Polysorbate 20, Dimethicone, Dimethiconol, Dimethicone / Vinyl Dimethicone Crosspolymer, Propanediol, Ethylhexylglycerin, Stearyl Behenate, Polyglyceryl-3 Methylglucose Distearate, Hydroxypropyl Bispalmitamide MEA, Inulin Lauryl Carbamate, Alcohol, 1,2-Hexanediol, Caprylyl Glycol, Carbomer, Tromethamine, Disodium EDTA, Phenoxyethanol, Fragrance, Blue 1 (Ci 42090).",https://product-image-uploads.s3-ca-central-1.amazonaws.com//WaterSleepingMask_Laneige.png,https://reissue.co/product/laneige-water-sleeping-mask
Yes To,Detoxifying Charcoal 2-in-1 Scrub & Cleanser Stick,N/A,"Water (Aqua), Sodium Cocoyl Isethionate, Glycerin, Propanediol, Cocos Nucifera (Coconut) Oil, Sodium Methyl Cocoyl Taurate, Stearic Acid, Myristic Acid, Perlite, Lauramine Oxide, Sodium Hydroxide, Potassium Hydroxide, Glycerol Caprylate, Charcoal Powder, Solanum Lycopersicum (Tomato) Fruit Extract, Solanum Lycopersicum (Tomato) Seed Oil, Limnanthes Alba (Meadowfoam) Seed Oil, Persea Gratissima (Avocado) Oil, Kaolin, Glycerol Undecylenate, Fragrance (Parfum), Benzyl Benzoate, Coumarin, Butylphenyl Methylpropanal.",https://product-image-uploads.s3-ca-central-1.amazonaws.com//Charcoal-2-in-1.png,https://reissue.co/product/yes-to-detoxifying-charcoal-2-in-1-scrub---cleanser-stick
Tatcha,Luminous Dewy Skin Mist,N/A,"Water, Glycerin, Squalane (Olive Origin), Cyclopentasiloxane, Propanediol, Triethylhexanoin, Camellia Japonica Seed Oil, Inositol (Rice Extract), Algae Extract, Sericin (Silk Extract), Glycyrrhiza Glabra (Licorice) Root Extract, Oryza Sativa (Rice) Germ Oil, Camellia Sinensis (Green Tea) Leaf Extract, Chondrus Crispus (Red Algae) Extract, Panax Ginseng Root Extract, Royal Jelly Extract, Zizyphus Jujuba Fruit Extract,Thymus Serpillum (Thyme) Extract, Scutellaria Baicalensis Root Extract, Polyglyceryl-2 Diisostearate, PPG-5-ceteth-10 Phosphate, Trideceth-12, Sodium Lauroyl Lactylate, Sorbitan Stearate, Ethylhexylglycerin, Behenyl Alcohol, Glyceryl Stearate SE, Fragrance (Natural), Sodium Hyaluronate, Alcohol, Phenoxyethanol. *Hadasei-3",https://product-image-uploads.s3-ca-central-1.amazonaws.com//dewyskinmist.png,https://reissue.co/product/tatcha-luminous-dewy-skin-mist
